Site #	Camera Number	SD Card	Month	Day	Time	Recording Name	# Mice	Left (0,1,2)	Right (0,1,2)	Majority Interaction (L/R)	Rat (Y/N)	Notes	Observer Initials	Instructions:
5	13	KM 10 (64)	Jul	9	20:47	IMG_0001	1							If there are any recordings that have only mice, input how many
5	13	KM 10 (64)	Jul	10	5:15	IMG_0002	1							If there are any other notable things about a video, such as a possible repeat rat, write in notes column
5	13	KM 10 (64)	Jul	10	19:16	IMG_0003	1							For left and right, 0 = no interaction, 1 = first interaction, 2 = interaction (but not first)
5	13	KM 10 (64)	Jul	10	20:18	IMG_0004	0							Separate notes for multiple mice with a comma
5	13	KM 10 (64)	Jul	10	20:22	IMG_0005	1							Majority Interaction column should only be used if the mouse interacts with both but spends much longer at one
5	13	KM 10 (64)	Jul	10	23:22	IMG_0006	0					not sure what		
5	13	KM 10 (64)	Jul	10	23:57	IMG_0007	2							
5	13	KM 10 (64)	Jul	10	23:59	IMG_0008	1							
5	13	KM 10 (64)	Jul	11	0:01	IMG_0009	2							
5	13	KM 10 (64)	Jul	11	0:37	IMG_0010	0							
5	13	KM 10 (64)	Jul	11	1:43	IMG_0011	1							
5	13	KM 10 (64)	Jul	11	5:17	IMG_0012	1							
5	13	KM 10 (64)	Jul	11	5:23	IMG_0013	1							
5	13	KM 10 (64)	Jul	11	6:21	IMG_0014	1							
5	13	KM 10 (64)	Jul	12	3:58	IMG_0015						too foggy		
5	13	KM 10 (64)	Jul	12	4:34	IMG_0016						too foggy		
5	13	KM 10 (64)	Jul	12	4:55	IMG_0017						too foggy		
5	13	KM 10 (64)	Jul	12	19:31	IMG_0018	1							
5	13	KM 10 (64)	Jul	12	19:49	IMG_0019	1							
5	13	KM 10 (64)	Jul	12	22:35	IMG_0020	1							
5	13	KM 10 (64)	Jul	12	22:58	IMG_0021	1							
5	13	KM 10 (64)	Jul	12	23:38	IMG_0022	0							
5	13	KM 10 (64)	Jul	13	0:46	IMG_0023	1							
5	13	KM 10 (64)	Jul	13	2:48	IMG_0024	1							
5	13	KM 10 (64)	Jul	13	3:15	IMG_0025	1							
5	13	KM 10 (64)	Jul	13	3:22	IMG_0026	1							
5	13	KM 10 (64)	Jul	13	19:56	IMG_0027	1					wenr in tube		
5	13	KM 10 (64)	Jul	13	20:35	IMG_0028	1							
5	13	KM 10 (64)	Jul	14	0:14	IMG_0029	1							
5	13	KM 10 (64)	Jul	14	3:08	IMG_0030	1							
5	13	KM 10 (64)	Jul	14	4:03	IMG_0031	1					visited both		
5	13	KM 10 (64)	Jul	14	4:45	IMG_0032	1							
5	13	KM 10 (64)	Jul	14	5:05	IMG_0033	1							
5	13	KM 10 (64)	Jul	14	6:19	IMG_0034	1							
5	13	KM 10 (64)	Jul	14	6:19	IMG_0035	2							
5	13	KM 10 (64)	Jul	14	19:17	IMG_0036	1					fat, too fat for tube		
5	13	KM 10 (64)	Jul	14	19:38	IMG_0037	1							
5	13	KM 10 (64)	Jul	14	23:25	IMG_0038	1							
5	13	KM 10 (64)	Jul	15	0:12	IMG_0039	1							
5	13	KM 10 (64)	Jul	15	3:14	IMG_0040	1							
5	13	KM 10 (64)	Jul	15	5:12	IMG_0041	1							
5	13	KM 10 (64)	Jul	15	5:25	IMG_0042	1							
5	13	KM 10 (64)	Jul	15	19:06	IMG_0043	1							
5	13	KM 10 (64)	Jul	15	19:38	IMG_0044	1							
5	13	KM 10 (64)	Jul	15	19:58	IMG_0045	1							
5	13	KM 10 (64)	Jul	15	20:38	IMG_0046	1							
5	13	KM 10 (64)	Jul	16	3:34	IMG_0047	1							
5	13	KM 10 (64)	Jul	16	20:19	IMG_0048	1							
5	13	KM 10 (64)	Jul	17	5:03	IMG_0049	1							
5	13	KM 10 (64)	Jul	17	20:49	IMG_0050	1					carrying something		
5	13	KM 10 (64)	Jul	18	3:20	IMG_0051	1							
5	13	KM 10 (64)	Jul	18	5:37	IMG_0052	1							
5	13	KM 10 (64)	Jul	18	23:23	IMG_0053					Y	RAT		
5	13	KM 10 (64)	Jul	18	23:27	IMG_0054	0							
5	13	KM 10 (64)	Jul	25	1:22	IMG_0055					Y	RAT		
3	8	KM 1 (64)	Jul	9	19:51	IMG_0001.MP4	2	0,0	1,0	R	N		SD	
3	8	KM 1 (64)	Jul	9	19:51	IMG_0002.MP4	1	1	0	L	N		SD	
3	8	KM 1 (64)	Jul	9	19:52	IMG_0003.MP4	1	0	1	R	N	R	SD	
3	8	KM 1 (64)	Jul	9	19:53	IMG_0004.MP4	1	1	2	R	N	LR pretty big but i think mouse	SD	
3	8	KM 1 (64)	Jul	9	19:56	IMG_0005.MP4	1	0	1	R	N	R	SD	
3	8	KM 1 (64)	Jul	9	20:11	IMG_0006.MP4	1	1	2	L	N	LR	SD	
3	8	KM 1 (64)	Jul	9	20:13	IMG_0007.MP4	1	1	2	L	N	LR	SD	
3	8	KM 1 (64)	Jul	9	20:16	IMG_0008.MP4	1	1	0	L	N	L	SD	
3	8	KM 1 (64)	Jul	9	20:46	IMG_0009.MP4	1	1	0	L	N	L	SD	
3	8	KM 1 (64)	Jul	9	21:32	IMG_0010.MP4	1	1	0	L	N	L	SD	
3	8	KM 1 (64)	Jul	9	21:32	IMG_0011.MP4	1	1	0	L	N	L	SD	
3	8	KM 1 (64)	Jul	9	21:33	IMG_0012.MP4	1	0	0		N		SD	
3	8	KM 1 (64)	Jul	9	21:40	IMG_0013.MP4	1	0	1	R	N	R	SD	
