Recording Information						Rat Information							
Camera	Month	Day	Time	File Name	Left Tube Treatment	Rat Number	First Tube	Time at Left (s)	Time at Right (s)	Time in Area (s)	Video Length (s)	Observer Initials	Notes
Camera number			24 hour time, hours:minutes		Bait that is on the left from the camera's point of view (P for peanut butter, M for mayo, C for control)	Order rat appeared in video (1, 2...)	L or R from the camera's perspective	Time [interacting] with the left tube	Time [interacting] with the right ube	Time in trail camera visual field not spent interacting with either tube			
13	Jul	18	23:23	IMG_0053	C	1	L	2.25	0	3.65	20		
13	Jul	25	1:22	IMG_0055	C	1	L	1.83	0	6.26	20		
12 ADATA, round 3	Aug	25	23:56	IMG_0001.MP4	P	1		0	0	3.06	20	CL	
FA8	Aug	2	3:07	IMG_0008.MP4	P	1		0	0	4.21	7	CL	video is only 7 seconds
FA8	Aug	2	3:07	IMG_0007.MP4	P	1	R	4.73	0	10.71	20	CL	
FA12	Aug	1	2:11	IMG_0003.MP4	P	1	L	19.99	0	0.8	20	CL	
FA12	Aug	1	2:11	IMG_0004.MP4	P	1	R	0	20.51	0	20	CL	
FA12	Aug	1	2:12	IMG_0005.MP4	P	1	R	0	20.36	0	20	CL	
FA12	Aug	1	2:50	IMG_0006.MP4	P	1	R	0	20.54	0	20	CL	
FA12	Aug	1	2:51	IMG_0007.MP4	P	1	R	0	8.48	1.7	20	CL	
FA12	Aug	1	23:35	IMG_0008.MP4	P	1	L	2.76	16.73	0.9	20	CL	
FA12	Aug	1	23:35	IMG_0009.MP4	P	1	R	0	20.41	0	20	CL	
FA12	Aug	1	23:35	IMG_0010.MP4	P	1	R	0	8.01	0	7	CL	video is only 7 seconds
FA12	Aug	1	23:36	IMG_0011.MP4	P	1	R	0	6.76	1.19	7	CL	video is only 7 seconds
FA12	Aug	1	23:36	IMG_0012.MP4	P	1	L	5.26	0	0	5	CL	video is only 5 seconds
FA12	Aug	2	0:06	IMG_0013.MP4	P	1	L	1.44	19.14	0	20	CL	
FA12	Aug	2	0:07	IMG_0014.MP4	P	1	R	0	8.6	0	8	CL	video is only 8 seconds
FA12	Aug	2	0:07	IMG_0015.MP4	P	1	R	0	0.94	2.42	6	CL	video is only 6 seconds
FA12	Aug	2	3:00	IMG_0016.MP4	P	1	R	0	19.69	0	19	CL	video is only 19 seconds
FA12	Aug	2	3:00	IMG_0017.MP4	P	1	R	0	4.37	0	4	CL	video is only 4 seconds
FA12	Aug	2	3:00	IMG_0018.MP4	P	1	R	0	6.48	0	6	CL	video is only 6 seconds
FA12	Aug	2	3:00	IMG_0019.MP4	P	1	R	0	3.78	0	3	CL	video is only 3 seconds
FA12	Aug	2	3:01	IMG_0020.MP4	P	1	R	0	4.55	0	4	CL	video is only 4 seconds
KM1 (8)	Jul	13	20:22	IMG_0391.MP4	M	1	R	0	5*	2	7	SD	video is only 7 seconds
KM1 (8)	Jul	15	20:38	IMG_0420.MP4	M	1	R	0	1.88	3	5	SD	video only 5 seconds
KM1 (8)	Jul	24	3:00	IMG_0434.MP4	M	1	R	0	0.01	7	20	SD	sniffs right tube for barely a second
KM 1 (8)	Jul	27	19:04	IMG_0436.MP4	M	1		0	0	6	6	SD	video is 6 seconds
KM1 (8)	Jul	27	19:05	IMG_0437.MP4	M	1		0	0	3	3	SD	video is only 3 seconds
KM1 (8)	Jul	27	19:06	IMG_0438.MP4	M	1		0	0	1	1	SD	video is 1 second, also same rat as above 2 videos
FA5	Aug	2	0:12	IMG_0001.AVI	M	1	L	14.96	0	6.3	20	CL	
FA5	Aug	2	0:12	IMG_0002.AVI	M	1	L	16.67	0	4.53	20	CL	
FA5	Aug	2	0:13	IMG_0003.AVI	M	1	R	0	10.82	10.14	20	CL	
FA5	Aug	2	0:46	IMG_0004.AVI	M	1	L	19.43	0	1.8	20	CL	
FA5	Aug	2	0:51	IMG_0005.AVI	M	1	R	0	20.98	0	20	CL	
FA5	Aug	2	0:52	IMG_0006.AVI	M	1	R	8.58	5.54	7.39	20	CL	
FA5	Aug	2	0:55	IMG_0007.AVI	M	1	L	3.93	0	10.51	20	CL	
FA5	Aug	2	2:48	IMG_0008.AVI	M	1	R	0	5.61	7.31	20	CL	
FA5	Aug	2	2:53	IMG_0009.AVI	M	1	R	1.4	15.76	4.35	20	CL	
