"Bait","PB","Mayo"
"Blaze",47,4
"Cats Goodnature Stoat Lure",1,0
"Deep Fried Dog Roll",2304,10
"Dehydrated Rabbit",14,0
"Fake Egg",561,2
"Fresh Possum",6,0
"Fresh Rabbit",1391,45
"Fresh fruit",1,0
"Fresh meat",199,1
"Golf ball",1,0
"Good Nature Chocolate",14,0
"Good Nature Meat Lovers",332,4
"Goodnature Cinnamon pre feed",5,0
"Goodnature Nut Butter",1,0
"Lure",79,0
"Lure-it Salmon Spray",42,11
"Mayo",63,138
"Other (please specify)",225,1
"Peanut butter",8885,63
"PoaUku",1,0
"Possum Dough",90,41
"Salmon",85,7
"Salmon oil",11,0
"Salted Possum",1,0
"Salted Rabbit",126,0
"Salted meat",20,0
"Smooth",97,29
"Terracotta Lures",7,0
"Whole egg",35,1
