"TrapID","TrapType","EntryID","Status","InitialBait","Rebaited","BaitType","BaitDetails","Strikes","SpeciesCaught","PB","Mayo"
7224044,"Trapinator",7224046,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224294,"Trapinator",7224295,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7222633,"Trapinator",7271031,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223193,"Trapinator",7271124,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223594,"Trapinator",7271410,"Initial set","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7223942,"Trapinator",7271471,"Initial set","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224267,"Trapinator",7271678,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224271,"Trapinator",7271686,"Initial set",NA,"Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7224294,"Trapinator",7271713,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7239819,"Trapinator",7292349,"Sprung","None","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7232993,"Trapinator",7293074,"Sprung","None","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7239819,"Trapinator",7389944,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7239819,"Trapinator",7389945,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7239819,"Trapinator",7389947,"Sprung","Peanut butter","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7241655,"Trapinator",7391167,"Sprung","None","Yes","Peanut butter",NA,1,"Possum",TRUE,FALSE
7233365,"Trapinator",7391238,"Sprung","None","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7232993,"Trapinator",7391396,"Sprung","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
7233365,"Trapinator",7407624,"Still set, bait missing","Peanut butter","Yes","Peanut butter",NA,0,"None",TRUE,FALSE
