"Line","TrapID","Code","TrapType","TrapSubType","Tags","Latitude","Longitude","Easting","Northing","EntryID","Date","Status","InitialBait","Rebaited","BaitType","BaitDetails","RecordedBy","Strikes","SpeciesCaught","Sex","Maturity","TrapCondition","Notes"
NA,7223337,"MT 2D (retired)","Sentinel",NA,NA,-43.653068120483,172.62686851804,1569910.7394946,5166591.3119247,7267796,2022-02-18 09:50:00,"Sprung",NA,"Yes","Peanut butter",NA,"Denis Aldridge",1,"Possum",NA,"Adult","OK",NA
NA,7224268,"MT 2J","Sentinel",NA,NA,-43.649925145164,172.62872599358,1570058.9647658,5166941.0459452,7268235,2022-02-18 10:21:00,"Sprung","Possum Dough","Yes","Peanut butter",NA,"Denis Aldridge",1,"Possum",NA,"Adult","OK",NA
NA,7223237,"MT 3A","Sentinel",NA,NA,-43.652231825359,172.62810814246,1570010.2865197,5166684.6404467,7269188,2022-02-18 11:35:00,"Sprung",NA,"Yes","Peanut butter",NA,"Denis Aldridge",1,"Possum",NA,"Adult","OK",NA
NA,7240113,"ST 4D (retired)","Sentinel",NA,NA,-43.654450343905,172.62593120088,1569835.8461937,5166437.460373,7292421,2022-02-22 09:52:00,"Sprung","None","Yes","Peanut butter",NA,"Denis Aldridge",0,"None",NA,"Adult","OK",NA
"1: MT Upper",7238820,"1B A12","AT220",NA,NA,-43.649886422962,172.62515137801,1569770.6737093,5166944.0508709,7292500,2022-02-22 09:59:00,"Sprung","None","Yes","Mayo",NA,"Denis Aldridge",1,"Possum",NA,"Adult","OK",NA
NA,7241865,"ST 4F","Sentinel",NA,NA,-43.654608456257,172.62737792663,1569952.5861576,5166420.4249929,7292941,2022-02-22 10:38:00,"Sprung","None","Yes","Peanut butter",NA,"Denis Aldridge",0,"None",NA,"Adult","OK",NA
NA,7222776,"MT 3C (retired)","Sentinel",NA,NA,-43.651961816712,172.62895620235,1570078.5408718,5166714.9339742,7297570,2022-02-22 15:31:00,"Sprung",NA,"Yes","Peanut butter",NA,"Denis Aldridge",1,"Possum",NA,"Adult","OK",NA
NA,7222524,"MT 3D (retired)","Sentinel",NA,NA,-43.651988353218,172.62996997854,1570160.3063094,5166712.3517537,7297639,2022-02-22 15:34:00,"Sprung","None","Yes","Peanut butter",NA,"Denis Aldridge",1,"Possum",NA,"Adult","OK",NA
NA,7224643,"MT 3I","Sentinel",NA,NA,-43.651307835904,172.63248172468,1570362.5222188,5166788.830676,7297652,2022-02-22 15:35:00,"Sprung",NA,"Yes","Peanut butter",NA,"Denis Aldridge",1,"Possum",NA,"Adult","OK",NA
"1: MT Upper",7242778,"1D A13 (retired)","AT220",NA,NA,-43.648686387044,172.62678323583,1569901.6742486,5167077.9211435,7390086,2022-02-25 09:52:00,"Sprung","None","Yes","Mayo",NA,"Denis Aldridge",1,"Rat",NA,"Adult","OK",NA
